player_id,thrower_x,thrower_y,event_type,dest_x,dest_y,event_name
mevans,3.64,16.6,18,14.28,27.3,Throw (completion)
eswiatek,14.28,27.3,18,23.53,40.99,Throw (completion)
khenke,23.53,40.99,18,24.77,65.31,Throw (completion)
jkaplan,24.77,65.31,22,2.33,56.47,Throwaway
cwilder,-2.33,63.53,18,12.24,70.48,Throw (completion)
bstreet,12.24,70.48,18,-10.72,85.26,Throw (completion)
cwilder,-10.72,85.26,18,0.58,60.0,Throw (completion)
jhustad,0.58,60.0,18,13.91,61.89,Throw (completion)
cwilder,13.91,61.89,18,11.22,75.29,Throw (completion)
bstreet,11.22,75.29,18,-4.09,64.8,Throw (completion)
cwilder,-4.09,64.8,18,-6.49,80.6,Throw (completion)
jhustad,-6.49,80.6,18,-13.34,80.82,Throw (completion)
cwilder,-13.34,80.82,19,8.52,108.85,Goal
jradack,7.35,27.52,18,19.52,37.35,Throw (completion)
jradack,4.8,58.9,18,16.75,68.81,Throw (completion)
jpotts,16.75,68.81,18,7.94,67.79,Throw (completion)
ndigiorgi,13.47,9.97,22,19.49,39.11,Throwaway
jkaplan,2.62,87.23,18,11.0,93.34,Throw (completion)
cwilder,-7.22,6.84,18,-9.77,18.85,Throw (completion)
jmalks,-9.31,5.49,18,-0.25,16.4,Throw (completion)
aroy,-0.25,16.4,18,12.73,20.0,Throw (completion)
tedmonds,12.73,20.0,18,1.61,23.95,Throw (completion)
tmonroe,1.61,23.95,20,-2.01,27.05,Drop
gnorrbom,-11.71,4.18,18,-0.73,10.29,Throw (completion)
jmalks,-0.73,10.29,18,14.86,18.6,Throw (completion)
ebonnet,14.86,18.6,18,17.67,25.05,Throw (completion)
jmalks,17.67,25.05,18,7.37,23.68,Throw (completion)
ebonnet,7.37,23.68,18,2.71,27.94,Throw (completion)
mmcdonnel,2.71,27.94,18,11.9,27.87,Throw (completion)
gnorrbom,11.9,37.870000000000005,18,17.6,46.47,Throw (completion)
jwodatch1,17.6,46.47,18,16.37,63.63,Throw (completion)
ebonnet,16.37,63.63,18,10.81,59.24,Throw (completion)
gnorrbom,10.81,59.24,18,6.69,65.01,Throw (completion)
ebonnet,6.69,65.01,18,6.96,76.27,Throw (completion)
jmalks,6.96,76.27,18,1.54,74.75,Throw (completion)
cjurek,1.54,74.75,18,-3.95,69.33,Throw (completion)
gnorrbom,-3.95,69.33,22,-11.66,96.06,Throwaway
jmalks,12.38,85.4,19,5.45,105.65,Goal
sconnole,0.0,40.0,18,13.31,47.03,Throw (completion)
glindsley,13.31,47.03,18,21.18,64.25,Throw (completion)
wselfridg,21.18,64.25,18,19.76,80.77,Throw (completion)
lyorgason,19.76,80.77,19,21.31,105.09,Goal
gnorrbom,-7.32,9.74,18,3.8,10.91,Throw (completion)
aroy,3.8,10.91,18,11.56,13.31,Throw (completion)
jmalks,11.56,13.31,18,17.74,18.19,Throw (completion)
gnorrbom,17.74,18.19,18,16.23,25.4,Throw (completion)
jmalks,16.23,25.4,18,3.39,21.62,Throw (completion)
gnorrbom,3.39,21.62,18,-0.04,17.91,Throw (completion)
jmalks,-0.04,17.91,22,6.7,37.32,Throwaway
aroy,-7.93,4.66,18,3.12,10.57,Throw (completion)
gnorrbom,3.12,10.57,18,-6.22,20.59,Throw (completion)
tedmonds,-6.22,10.59,18,4.22,10.64,Throw (completion)
gnorrbom,4.22,20.64,18,-3.47,26.97,Throw (completion)
cjurek,-3.47,26.97,18,3.67,25.46,Throw (completion)
aroy,3.67,25.46,18,12.8,33.43,Throw (completion)
mmcdonnel,13.76,47.64,18,2.84,49.56,Throw (completion)
gnorrbom,2.84,49.56,18,15.47,62.26,Throw (completion)
cjurek,15.47,62.26,18,15.4,75.72,Throw (completion)
tedmonds,15.4,75.72,18,-2.24,81.0,Throw (completion)
gnorrbom,-2.24,81.0,18,-8.89,81.89,Throw (completion)
